date,age,gender,ads,unique_campaigns,impressions,clicks,spent,total_conversion,approved_conversion,revenue,ctr,conversion_rate,cpc,cpa,roas,segment_level,trend_keyword,search_interest
2017-08-17,30-34,F,8,1,739527,115,177.529997943,14,4,80.0,0.00015550480239396263,0.034782608695652174,1.5437391125478261,44.38249948575,0.45062806808394035,age_gender,fashion,89
2017-08-17,30-34,F,8,1,739527,115,177.529997943,14,4,80.0,0.00015550480239396263,0.034782608695652174,1.5437391125478261,44.38249948575,0.45062806808394035,age_gender,fitness,90
2017-08-17,30-34,F,8,1,739527,115,177.529997943,14,4,80.0,0.00015550480239396263,0.034782608695652174,1.5437391125478261,44.38249948575,0.45062806808394035,age_gender,grocery,71
2017-08-17,30-34,F,8,1,739527,115,177.529997943,14,4,80.0,0.00015550480239396263,0.034782608695652174,1.5437391125478261,44.38249948575,0.45062806808394035,age_gender,skin care,100
2017-08-17,30-34,M,8,1,60873,9,12.079999895,10,4,80.0,0.00014784879996057365,0.4444444444444444,1.3422222105555557,3.01999997375,6.622516613854656,age_gender,fashion,89
2017-08-17,30-34,M,8,1,60873,9,12.079999895,10,4,80.0,0.00014784879996057365,0.4444444444444444,1.3422222105555557,3.01999997375,6.622516613854656,age_gender,fitness,90
2017-08-17,30-34,M,8,1,60873,9,12.079999895,10,4,80.0,0.00014784879996057365,0.4444444444444444,1.3422222105555557,3.01999997375,6.622516613854656,age_gender,grocery,71
2017-08-17,30-34,M,8,1,60873,9,12.079999895,10,4,80.0,0.00014784879996057365,0.4444444444444444,1.3422222105555557,3.01999997375,6.622516613854656,age_gender,skin care,100
2017-08-17,35-39,F,12,0,4938869,921,1316.190000992,62,17,340.0,0.0001864799410553307,0.018458197611292075,1.4290879489598263,77.42294123482353,0.25832136678119816,age_gender,fashion,89
2017-08-17,35-39,F,12,0,4938869,921,1316.190000992,62,17,340.0,0.0001864799410553307,0.018458197611292075,1.4290879489598263,77.42294123482353,0.25832136678119816,age_gender,fitness,90
2017-08-17,35-39,F,12,0,4938869,921,1316.190000992,62,17,340.0,0.0001864799410553307,0.018458197611292075,1.4290879489598263,77.42294123482353,0.25832136678119816,age_gender,grocery,71
2017-08-17,35-39,F,12,0,4938869,921,1316.190000992,62,17,340.0,0.0001864799410553307,0.018458197611292075,1.4290879489598263,77.42294123482353,0.25832136678119816,age_gender,skin care,100
2017-08-17,35-39,M,2,1,8554,2,2.609999895,2,1,20.0,0.00023380874444704232,0.5,1.3049999475,2.609999895,7.662835557317139,age_gender,fashion,89
2017-08-17,35-39,M,2,1,8554,2,2.609999895,2,1,20.0,0.00023380874444704232,0.5,1.3049999475,2.609999895,7.662835557317139,age_gender,fitness,90
2017-08-17,35-39,M,2,1,8554,2,2.609999895,2,1,20.0,0.00023380874444704232,0.5,1.3049999475,2.609999895,7.662835557317139,age_gender,grocery,71
2017-08-17,35-39,M,2,1,8554,2,2.609999895,2,1,20.0,0.00023380874444704232,0.5,1.3049999475,2.609999895,7.662835557317139,age_gender,skin care,100
2017-08-17,40-44,F,19,0,9337460,2156,3070.4099821,124,37,740.0,0.00023089791013830314,0.017161410018552876,1.4241233683209646,82.98405357027028,0.2410101596575317,age_gender,fashion,89
2017-08-17,40-44,F,19,0,9337460,2156,3070.4099821,124,37,740.0,0.00023089791013830314,0.017161410018552876,1.4241233683209646,82.98405357027028,0.2410101596575317,age_gender,fitness,90
2017-08-17,40-44,F,19,0,9337460,2156,3070.4099821,124,37,740.0,0.00023089791013830314,0.017161410018552876,1.4241233683209646,82.98405357027028,0.2410101596575317,age_gender,grocery,71
2017-08-17,40-44,F,19,0,9337460,2156,3070.4099821,124,37,740.0,0.00023089791013830314,0.017161410018552876,1.4241233683209646,82.98405357027028,0.2410101596575317,age_gender,skin care,100
2017-08-17,45-49,F,2,0,1303414,249,364.3199992,13,4,80.0,0.00019103676959124268,0.01606425702811245,1.4631325269076305,91.0799998,0.21958717659110052,age_gender,fashion,89
2017-08-17,45-49,F,2,0,1303414,249,364.3199992,13,4,80.0,0.00019103676959124268,0.01606425702811245,1.4631325269076305,91.0799998,0.21958717659110052,age_gender,fitness,90
2017-08-17,45-49,F,2,0,1303414,249,364.3199992,13,4,80.0,0.00019103676959124268,0.01606425702811245,1.4631325269076305,91.0799998,0.21958717659110052,age_gender,grocery,71
2017-08-17,45-49,F,2,0,1303414,249,364.3199992,13,4,80.0,0.00019103676959124268,0.01606425702811245,1.4631325269076305,91.0799998,0.21958717659110052,age_gender,skin care,100
2017-08-17,45-49,M,3,1,51689,14,18.82000017,3,1,20.0,0.00027085066455145195,0.07142857142857142,1.3442857264285715,18.82000017,1.0626992465112182,age_gender,fashion,89
2017-08-17,45-49,M,3,1,51689,14,18.82000017,3,1,20.0,0.00027085066455145195,0.07142857142857142,1.3442857264285715,18.82000017,1.0626992465112182,age_gender,fitness,90
2017-08-17,45-49,M,3,1,51689,14,18.82000017,3,1,20.0,0.00027085066455145195,0.07142857142857142,1.3442857264285715,18.82000017,1.0626992465112182,age_gender,grocery,71
2017-08-17,45-49,M,3,1,51689,14,18.82000017,3,1,20.0,0.00027085066455145195,0.07142857142857142,1.3442857264285715,18.82000017,1.0626992465112182,age_gender,skin care,100
2017-08-18,30-34,F,16,2,1955102,294,422.099999866,56,20,400.0,0.0001503757860203713,0.06802721088435375,1.4357142852585034,21.1049999933,0.9476427389883537,age_gender,fashion,90
2017-08-18,30-34,F,16,2,1955102,294,422.099999866,56,20,400.0,0.0001503757860203713,0.06802721088435375,1.4357142852585034,21.1049999933,0.9476427389883537,age_gender,fitness,84
2017-08-18,30-34,F,16,2,1955102,294,422.099999866,56,20,400.0,0.0001503757860203713,0.06802721088435375,1.4357142852585034,21.1049999933,0.9476427389883537,age_gender,grocery,76
2017-08-18,30-34,F,16,2,1955102,294,422.099999866,56,20,400.0,0.0001503757860203713,0.06802721088435375,1.4357142852585034,21.1049999933,0.9476427389883537,age_gender,skin care,90
2017-08-18,30-34,M,19,1,70843,13,15.940000162,24,8,160.0,0.00018350436881554987,0.6153846153846154,1.2261538586153846,1.99250002025,10.037641052315065,age_gender,fashion,90
2017-08-18,30-34,M,19,1,70843,13,15.940000162,24,8,160.0,0.00018350436881554987,0.6153846153846154,1.2261538586153846,1.99250002025,10.037641052315065,age_gender,fitness,84
2017-08-18,30-34,M,19,1,70843,13,15.940000162,24,8,160.0,0.00018350436881554987,0.6153846153846154,1.2261538586153846,1.99250002025,10.037641052315065,age_gender,grocery,76
2017-08-18,30-34,M,19,1,70843,13,15.940000162,24,8,160.0,0.00018350436881554987,0.6153846153846154,1.2261538586153846,1.99250002025,10.037641052315065,age_gender,skin care,90
