audience_cluster_key,audience_cluster_label,ads,unique_campaigns,date_first,date_last,age_modes,gender_modes,impressions,clicks,spent,total_conversion,approved_conversion,revenue,click_anomalies,conversion_anomalies,ctr,conversion_rate,cpc,cpa,roas,eligible_for_ranking
35_32_35,cluster_642,1,0,2017-08-26,2017-08-26,45-49,M,433658,82,158.5999998,5,2,40.0,0,0,0.00018908909786052603,0.024390243902439025,1.9341463390243903,79.2999999,0.25220680990190014,False
36_30_36,cluster_643,2,0,2017-08-24,2017-08-24,30-34,F,310157,49,79.79000128,5,1,20.0,0,0,0.0001579845046218528,0.02040816326530612,1.6283673730612245,79.79000128,0.25065797316904115,False
20_16_18,cluster_243,2,0,2017-08-18,2017-08-30,"40-44, 45-49","F, M",2508501,392,657.01000068,22,8,160.0,0,0,0.00015626862417037106,0.02040816326530612,1.6760459201020408,82.126250085,0.24352749552427103,False
23_18_24,cluster_323,1,0,2017-08-27,2017-08-27,45-49,F,685211,164,247.3200026,4,3,60.0,0,0,0.00023934233396720133,0.018292682926829267,1.5080487963414635,82.44000086666667,0.24260067673151478,False
63_68_64,cluster_687,2,2,2017-08-21,2017-08-24,"30-34, 40-44","F, M",285804,50,82.800000307,3,1,20.0,0,0,0.00017494506724888384,0.02,1.6560000061400002,82.800000307,0.24154589282421993,False
116_114_118,cluster_117,1,0,2017-08-17,2017-08-17,45-49,F,513161,114,165.6099987,5,2,40.0,0,0,0.00022215250184639908,0.017543859649122806,1.4527192868421053,82.80499935,0.2415313103918284,False
21_16_17,cluster_272,2,0,2017-08-19,2017-08-30,"35-39, 45-49","F, M",1344058,214,331.72999808000003,17,4,80.0,0,0,0.00015921931940437095,0.018691588785046728,1.5501401779439254,82.93249952000001,0.24115998089719698,False
106_105_109,cluster_021,1,0,2017-08-19,2017-08-19,45-49,F,1118200,235,333.7499943,11,4,80.0,0,0,0.00021015918440350564,0.01702127659574468,1.4202127417021277,83.437498575,0.23970037862559446,False
22_19_24,cluster_302,1,0,2017-08-20,2017-08-20,35-39,F,238735,56,84.65999889,4,1,20.0,0,0,0.0002345697111860431,0.017857142857142856,1.5117856944642856,84.65999889,0.23623907704022415,False
30_25_29,cluster_540,2,0,2017-08-17,2017-08-18,"40-44, 45-49","F, M",261305,59,85.37999893,3,1,20.0,0,0,0.00022578978588239795,0.01694915254237288,1.4471186259322033,85.37999893,0.23424689916425606,False
64_63_64,cluster_692,1,0,2017-08-23,2017-08-23,30-34,F,1296189,212,343.2599944,14,4,80.0,0,0,0.00016355639493931826,0.018867924528301886,1.619150916981132,85.8149986,0.23305949223659372,False
18_16_18,cluster_201,1,0,2017-08-18,2017-08-18,35-39,F,1247717,222,343.4199994,11,4,80.0,0,0,0.00017792496215087236,0.018018018018018018,1.5469369342342343,85.85499985,0.23295090600364143,False
21_18_21,cluster_278,1,0,2017-08-28,2017-08-28,30-34,F,764793,101,171.9799976,4,2,40.0,0,0,0.00013206187818141642,0.019801980198019802,1.7027722534653464,85.9899988,0.23258518756951072,False
17_16_22,cluster_198,1,0,2017-08-18,2017-08-18,35-39,F,682143,114,177.1099993,6,2,40.0,0,0,0.00016712038384913427,0.017543859649122806,1.5535964850877193,88.55499965,0.22584834373041524,False
66_69_69,cluster_743,1,1,2017-08-24,2017-08-24,30-34,M,344618,51,89.76000047,3,1,20.0,0,0,0.00014798994829057102,0.0196078431372549,1.7600000092156862,89.76000047,0.22281639812027956,False
10_16_16,cluster_068,2,2,2017-08-26,2017-08-27,"30-34, 45-49",M,1185748,222,367.040000895,16,4,80.0,0,0,0.00018722359219665562,0.018018018018018018,1.6533333373648649,91.76000022375,0.21795989484777106,False
26_25_30,cluster_396,2,0,2017-08-17,2017-08-17,40-44,F,467896,132,184.05999911,9,2,40.0,0,0,0.0002821139740455144,0.015151515151515152,1.3943939326515151,92.029999555,0.2173204400381136,False
28_30_32,cluster_467,2,2,2017-08-23,2017-08-30,30-34,M,1110628,159,280.9899995,14,3,60.0,0,1,0.00014316224694497167,0.018867924528301886,1.7672327012578617,93.66333316666667,0.21353073101094475,False
10_15_11,cluster_057,2,2,2017-08-23,2017-08-25,40-44,"F, M",335784,62,94.2700004,4,1,20.0,0,0,0.00018464250827913184,0.016129032258064516,1.5204838774193548,94.2700004,0.21215657064959553,False
18_15_21,cluster_200,1,0,2017-08-17,2017-08-17,40-44,F,582725,142,194.8099988,9,2,40.0,0,0,0.00024368269767042773,0.014084507042253521,1.3719013999999998,97.4049994,0.20532826983416624,False
114_113_117,cluster_105,1,0,2017-08-17,2017-08-17,45-49,F,790253,135,198.7100005,8,2,40.0,0,0,0.0001708313666635875,0.014814814814814815,1.4719259296296296,99.35500025,0.20129837400911282,False
31_29_30,cluster_577,2,0,2017-08-23,2017-08-23,30-34,F,448171,66,99.670000433,4,1,20.0,0,0,0.00014726521796367905,0.015151515151515152,1.510151521712121,99.670000433,0.20066218433945293,False
30_28_34,cluster_547,2,0,2017-08-18,2017-08-29,"40-44, 45-49","F, M",909323,207,302.17000207,6,3,60.0,0,0,0.00022764188302726315,0.014492753623188406,1.4597584641062802,100.72333402333334,0.19856372104766554,False
16_10_14,cluster_155,2,0,2017-08-25,2017-08-29,"40-44, 45-49",F,958086,228,303.43000102999997,7,3,60.0,0,0,0.00023797446158278066,0.013157894736842105,1.330833337850877,101.14333367666666,0.19773918134768695,False
31_27_30,cluster_569,1,0,2017-08-24,2017-08-24,45-49,F,1088027,272,409.5600026,9,4,80.0,0,0,0.0002499937961098392,0.014705882352941176,1.5057353036764707,102.39000065,0.1953315741091364,False
18_20_22,cluster_206,1,1,2017-08-26,2017-08-26,30-34,M,880814,123,210.3600006,6,2,40.0,0,0,0.00013964355698251843,0.016260162601626018,1.7102439073170732,105.1800003,0.19015021813039487,False
116_110_116,cluster_111,1,0,2017-08-20,2017-08-20,40-44,F,419922,75,105.4500008,3,1,20.0,0,0,0.00017860459799677082,0.013333333333333334,1.4060000106666666,105.4500008,0.189663346119197,False
20_16_17,cluster_242,1,0,2017-08-30,2017-08-30,45-49,M,1228924,190,318.9700032,6,3,60.0,0,0,0.00015460679423625871,0.015789473684210527,1.6787894905263159,106.32333440000001,0.18810546257661384,False
30_29_30,cluster_548,2,0,2017-08-24,2017-08-27,45-49,"F, M",1023595,245,325.21000053,10,3,60.0,0,0,0.00023935247827509904,0.012244897959183673,1.3273877572653061,108.40333351,0.18449617140376073,False
27_26_28,cluster_425,1,0,2017-08-17,2017-08-17,40-44,F,328365,83,117.3400005,2,1,20.0,0,0,0.0002527674995812587,0.012048192771084338,1.4137349457831325,117.3400005,0.17044486036115195,False
21_18_19,cluster_276,1,0,2017-08-28,2017-08-28,30-34,F,515812,69,117.6299995,3,1,20.0,0,0,0.00013376966801858042,0.014492753623188406,1.7047826014492753,117.6299995,0.17002465429747793,False
23_19_24,cluster_325,1,0,2017-08-29,2017-08-29,45-49,M,334945,72,120.2999994,2,1,20.0,0,0,0.00021496066518383614,0.013888888888888888,1.670833325,120.2999994,0.1662510398981764,False
22_16_17,cluster_298,1,0,2017-08-30,2017-08-30,45-49,M,938283,134,248.6400001,7,2,40.0,0,0,0.00014281405503456846,0.014925373134328358,1.8555223888059702,124.32000005,0.16087516081045883,False
34_28_29,cluster_627,1,0,2017-08-21,2017-08-21,30-34,F,1189509,268,375.7199963,7,3,60.0,0,0,0.0002253030452060472,0.011194029850746268,1.4019402847014926,125.23999876666666,0.1596933902663301,False
26_23_26,cluster_391,1,0,2017-08-19,2017-08-19,45-49,F,284488,90,125.2700011,1,1,20.0,0,0,0.0003163578077106943,0.011111111111111112,1.391888901111111,125.2700011,0.1596551434851069,False
114_109_111,cluster_099,1,0,2017-08-18,2017-08-18,35-39,F,475184,88,127.3200028,4,1,20.0,0,0,0.00018519142058655175,0.011363636363636364,1.4468182136363636,127.3200028,0.1570845080125933,False
30_26_29,cluster_541,2,0,2017-08-17,2017-08-18,"40-44, 45-49","F, M",706124,187,260.189996981,5,2,40.0,0,0,0.00026482600789663003,0.0106951871657754,1.3913903581871656,130.0949984905,0.1537338116919266,False
19_23_25,cluster_236,2,1,2017-08-24,2017-08-24,40-44,M,802439,152,260.9899998,10,2,40.0,0,0,0.00018942249815873853,0.013157894736842105,1.7170394723684212,130.4949999,0.1532625772276812,False
19_23_23,cluster_235,1,1,2017-08-28,2017-08-28,35-39,M,447952,68,131.5799983,8,1,20.0,0,0,0.0001518019787834411,0.014705882352941176,1.934999975,131.5799983,0.15199878597353653,False
21_20_24,cluster_280,1,0,2017-08-30,2017-08-30,45-49,M,415798,80,131.7800006,3,1,20.0,0,0,0.00019240111785049472,0.0125,1.6472500074999998,131.7800006,0.15176809765472107,False
16_10_16,cluster_157,1,0,2017-08-27,2017-08-27,45-49,F,382776,97,132.7300007,5,1,20.0,0,0,0.00025341191715259057,0.010309278350515464,1.3683505226804125,132.7300007,0.15068183451007847,False
19_18_22,cluster_225,1,0,2017-08-29,2017-08-29,45-49,M,468749,84,134.1199975,6,1,20.0,0,0,0.00017920038229414888,0.011904761904761904,1.596666636904762,134.1199975,0.14912019365344828,False
67_65_67,cluster_751,2,0,2017-08-26,2017-08-26,45-49,"F, M",422702,104,137.53000011,3,1,20.0,0,0,0.00024603621463820845,0.009615384615384616,1.3224038472115385,137.53000011,0.14542281672364932,False
110_109_112,cluster_076,1,0,2017-08-27,2017-08-27,30-34,F,623137,100,138.9200006,12,1,20.0,0,0,0.00016047835387723728,0.01,1.389200006,138.9200006,0.1439677506019245,False
21_18_20,cluster_277,1,0,2017-08-28,2017-08-28,45-49,F,791817,194,282.490001,4,2,40.0,0,0,0.0002450061062088841,0.010309278350515464,1.4561340257731958,141.2450005,0.14159793216893365,False
67_63_66,cluster_747,1,0,2017-08-26,2017-08-26,45-49,F,391998,97,142.0500025,3,1,20.0,0,0,0.0002474502420930719,0.010309278350515464,1.4644330154639176,142.0500025,0.14079549206625322,False
24_22_24,cluster_351,1,0,2017-08-19,2017-08-19,45-49,F,436943,109,145.8199974,1,1,20.0,0,0,0.00024946045594047734,0.009174311926605505,1.3377981412844038,145.8199974,0.1371553995103829,False
18_16_19,cluster_202,1,0,2017-08-29,2017-08-29,30-34,F,705712,98,147.339999,6,1,20.0,0,0,0.00013886684653229646,0.01020408163265306,1.5034693775510204,147.339999,0.13574046515366137,False
28_33_32,cluster_479,2,2,2017-08-17,2017-08-29,"30-34, 35-39",M,555087,85,151.430001162,4,1,20.0,0,0,0.0001531291491243715,0.011764705882352941,1.781529425435294,151.430001162,0.13207422470137853,False
20_16_22,cluster_246,1,0,2017-08-28,2017-08-28,45-49,F,1015460,247,315.9000051,9,2,40.0,0,0,0.00024323951706615722,0.008097165991902834,1.2789473890688259,157.95000255,0.12662234680033566,False
64_63_68,cluster_695,1,0,2017-08-27,2017-08-27,45-49,F,427772,117,159.299999,3,1,20.0,0,0,0.00027351018767006723,0.008547008547008548,1.3615384529914532,159.299999,0.12554927887978204,False
65_63_67,cluster_721,1,0,2017-08-30,2017-08-30,35-39,F,579150,125,167.0499997,5,1,20.0,0,0,0.0002158335491668825,0.008,1.3363999976,167.0499997,0.1197246335583202,False
104_103_105,cluster_009,2,0,2017-08-17,2017-08-21,"35-39, 40-44","F, M",1206791,236,335.94000208,9,2,40.0,0,0,0.00019555996025823858,0.00847457627118644,1.4234745850847457,167.97000104,0.11906888061063502,False
27_25_28,cluster_424,1,0,2017-08-25,2017-08-25,45-49,F,449921,129,175.9700005,5,1,20.0,0,0,0.00028671700142913976,0.007751937984496124,1.3641085310077519,175.9700005,0.11365573645037297,False
15_10_13,cluster_130,2,0,2017-08-17,2017-08-30,35-39,F,1152873,254,353.23999871,18,2,40.0,0,0,0.00022031915050486914,0.007874015748031496,1.3907086563385826,176.619999355,0.11323745936495391,False
111_109_114,cluster_081,1,0,2017-08-19,2017-08-19,45-49,F,1129773,252,358.189997,13,2,40.0,0,0,0.00022305365768167588,0.007936507936507936,1.421388876984127,179.0949985,0.11167257694245437,False
19_16_21,cluster_222,2,0,2017-08-17,2017-08-28,"40-44, 45-49",F,1246312,250,367.57999700000005,6,2,40.0,0,0,0.00020059182612379564,0.008,1.4703199880000002,183.78999850000002,0.1088198496285422,False
66_63_68,cluster_735,1,0,2017-08-25,2017-08-25,40-44,F,597419,135,188.5100002,2,1,20.0,0,0,0.0002259720564628845,0.007407407407407408,1.3963703718518519,188.5100002,0.10609516725256467,False
29_27_30,cluster_490,1,0,2017-08-24,2017-08-24,45-49,F,1055017,265,380.6599952,16,2,40.0,0,0,0.00025118078666030975,0.007547169811320755,1.4364528120754718,190.3299976,0.10508065072344644,False
66_64_65,cluster_736,1,0,2017-08-27,2017-08-27,45-49,F,536457,136,193.6599991,2,1,20.0,0,0,0.0002535151932028103,0.007352941176470588,1.4239705816176471,193.6599991,0.10327377926751215,False
33_27_28,cluster_618,2,0,2017-08-17,2017-08-21,"30-34, 40-44",F,1154426,281,392.25000016999996,8,2,40.0,0,0,0.00024341101118651175,0.0071174377224199285,1.3959074739145907,196.12500008499998,0.10197578070787539,False
33_29_31,cluster_622,1,0,2017-08-24,2017-08-24,45-49,F,526923,138,198.0899972,2,1,20.0,0,0,0.0002618978484522406,0.007246376811594203,1.4354347623188406,198.0899972,0.10096420961532529,False
16_10_13,cluster_154,1,0,2017-08-27,2017-08-27,45-49,F,548250,137,201.6000042,5,1,20.0,0,0,0.0002498860009119927,0.0072992700729927005,1.4715328773722627,201.6000042,0.0992063471395503,False
21_16_20,cluster_274,1,0,2017-08-30,2017-08-30,45-49,M,915451,125,220.559999,6,1,20.0,0,0,0.00013654471948799007,0.008,1.764479992,220.559999,0.09067827389680029,False
11_10_15,cluster_123,1,0,2017-08-28,2017-08-28,45-49,F,1358324,346,465.0799981,8,2,40.0,0,0,0.00025472567664268613,0.005780346820809248,1.3441618442196532,232.53999905,0.08600670887462962,False
19_18_20,cluster_224,2,0,2017-08-28,2017-08-28,"30-34, 45-49",F,1580668,318,492.560001,6,2,40.0,0,0,0.0002011807666125967,0.006289308176100629,1.548930820754717,246.2800005,0.08120838054001872,False
29_26_32,cluster_489,1,0,2017-08-25,2017-08-25,45-49,F,669671,186,259.1799988,4,1,20.0,0,0,0.0002777483271636371,0.005376344086021506,1.393440853763441,259.1799988,0.07716644838567689,False
34_32_37,cluster_635,1,0,2017-08-26,2017-08-26,45-49,M,718359,147,264.5899997,4,1,20.0,0,0,0.00020463305951481085,0.006802721088435374,1.7999319707482995,264.5899997,0.07558864667098754,False
106_100_101,cluster_017,1,0,2017-08-20,2017-08-20,45-49,F,904907,195,279.219995,11,1,20.0,0,0,0.00021549175771653882,0.005128205128205128,1.4318974102564102,279.219995,0.0716281081517819,False
21_16_22,cluster_275,1,0,2017-08-28,2017-08-28,45-49,F,850337,198,287.690003,3,1,20.0,0,0,0.00023284885874659105,0.005050505050505051,1.4529798131313132,287.690003,0.06951927349383774,False
14_10_14,cluster_128,2,0,2017-08-17,2017-08-26,"35-39, 45-49","F, M",987915,196,302.0399988,7,1,20.0,0,0,0.00019839763542410025,0.00510204081632653,1.5410204020408163,302.0399988,0.0662163954425231,False
28_33_31,cluster_478,2,1,2017-08-30,2017-08-30,35-39,M,1185192,177,319.92000147,6,1,20.0,0,0,0.00014934289127837514,0.005649717514124294,1.8074576354237288,319.92000147,0.06251562861997383,False
113_108_112,cluster_093,1,0,2017-08-20,2017-08-20,40-44,F,1357386,223,323.0600071,10,1,20.0,0,0,0.00016428635627595983,0.004484304932735426,1.4486995834080718,323.0600071,0.06190800334443501,False
30_27_32,cluster_545,1,0,2017-08-19,2017-08-19,35-39,F,1050947,230,350.5099957,6,1,20.0,0,0,0.00021885023697674574,0.004347826086956522,1.5239565030434783,350.5099957,0.05705971368964301,False
34_32_33,cluster_634,1,0,2017-08-26,2017-08-26,45-49,M,932890,197,352.4499989,3,1,20.0,0,0,0.00021117173514562275,0.005076142131979695,1.7890862888324874,352.4499989,0.05674563785620712,False
22_16_19,cluster_299,2,0,2017-08-18,2017-08-29,"40-44, 45-49",F,1496548,334,469.7999992,7,1,20.0,0,0,0.0002231802788818,0.0029940119760479044,1.4065868239520958,469.7999992,0.042571307011615676,False
30_27_28,cluster_543,1,0,2017-08-24,2017-08-24,45-49,F,1428421,367,541.7000023,10,0,0.0,0,0,0.0002569270544188303,0.0,1.4760218046321527,,0.0,False
64_63_66,cluster_693,1,0,2017-08-27,2017-08-27,45-49,F,1111156,282,402.3000026,5,0,0.0,0,0,0.0002537897468942255,0.0,1.4265957539007093,,0.0,False
31_27_33,cluster_571,1,0,2017-08-17,2017-08-17,40-44,F,1083259,276,390.2599992,11,0,0.0,0,0,0.0002547867130575421,0.0,1.413985504347826,,0.0,False
32_29_31,cluster_595,1,0,2017-08-26,2017-08-26,40-44,F,822023,194,288.3300035,6,0,0.0,0,0,0.00023600312886622394,0.0,1.486237131443299,,0.0,False
