date,ads,unique_campaigns,impressions,clicks,spent,total_conversion,approved_conversion,revenue,ctr,conversion_rate,cpc,cpa,roas,segment_level,trend_keyword,search_interest
2017-08-17,54,1,16440386,3466,4961.959980195,228,68,1360.0,0.00021082230064427927,0.019619157530294286,1.4316099192714944,72.96999970875,0.2740852416037732,overall,fashion,89
2017-08-17,54,1,16440386,3466,4961.959980195,228,68,1360.0,0.00021082230064427927,0.019619157530294286,1.4316099192714944,72.96999970875,0.2740852416037732,overall,fitness,90
2017-08-17,54,1,16440386,3466,4961.959980195,228,68,1360.0,0.00021082230064427927,0.019619157530294286,1.4316099192714944,72.96999970875,0.2740852416037732,overall,grocery,71
2017-08-17,54,1,16440386,3466,4961.959980195,228,68,1360.0,0.00021082230064427927,0.019619157530294286,1.4316099192714944,72.96999970875,0.2740852416037732,overall,skin care,100
2017-08-18,109,3,13685544,2565,3840.609990583,243,73,1460.0,0.00018742404394008744,0.028460038986354776,1.4973138364846004,52.61109576141096,0.3801479461803862,overall,fashion,90
2017-08-18,109,3,13685544,2565,3840.609990583,243,73,1460.0,0.00018742404394008744,0.028460038986354776,1.4973138364846004,52.61109576141096,0.3801479461803862,overall,fitness,84
2017-08-18,109,3,13685544,2565,3840.609990583,243,73,1460.0,0.00018742404394008744,0.028460038986354776,1.4973138364846004,52.61109576141096,0.3801479461803862,overall,grocery,76
2017-08-18,109,3,13685544,2565,3840.609990583,243,73,1460.0,0.00018742404394008744,0.028460038986354776,1.4973138364846004,52.61109576141096,0.3801479461803862,overall,skin care,90
2017-08-19,105,3,17914341,3469,5177.74998548,254,79,1580.0,0.00019364374050934947,0.022773133467858173,1.492577107373883,65.54113905670886,0.3051518525287634,overall,fashion,100
2017-08-19,105,3,17914341,3469,5177.74998548,254,79,1580.0,0.00019364374050934947,0.022773133467858173,1.492577107373883,65.54113905670886,0.3051518525287634,overall,fitness,90
2017-08-19,105,3,17914341,3469,5177.74998548,254,79,1580.0,0.00019364374050934947,0.022773133467858173,1.492577107373883,65.54113905670886,0.3051518525287634,overall,grocery,96
2017-08-19,105,3,17914341,3469,5177.74998548,254,79,1580.0,0.00019364374050934947,0.022773133467858173,1.492577107373883,65.54113905670886,0.3051518525287634,overall,skin care,84
2017-08-20,93,2,16246436,2843,4369.090001602,254,84,1680.0,0.0001749922259872873,0.029546253957087584,1.5367886041512486,52.01297620954762,0.3845194306786997,overall,fashion,93
2017-08-20,93,2,16246436,2843,4369.090001602,254,84,1680.0,0.0001749922259872873,0.029546253957087584,1.5367886041512486,52.01297620954762,0.3845194306786997,overall,fitness,86
